iso2	country	population	source	year
AI	Anguilla	14764	wikipedia	2016
AX	Aland Islands	29489	wikipedia	2017
CK	Cook Islands	17459	wikipedia	2016
ER	Eritrea	4954645	wikipedia	2016
FK	Falkland Islands (Malvinas)	3398	wikipedia	2016
GF	French Guiana	296711	wikipedia	2019
GG	Guernsey	63026	wikipedia	2016
GP	Guadeloupe	394110	wikipedia	2016
IO	British Indian Ocean Territory	2500	wikipedia	2012
KO	Kosovo	1958080	wikipedia	2018
MK	Macedonia	2103721	wikipedia	2017
TF	French Southern Territories	250	wikipedia	2007
AN	Netherlands Antilles	304759	wikipedia	2010
MQ	Martinique	376480	wikipedia	2016
MS	Montserrat	4490	wikipedia	2018
NF	Norfolk Island	1748	wikipedia	2016
NU	Niue	1624	wikipedia	2016
PN	Pitcairn	50	wikipedia	2018
RE	Reunion	866506	wikipedia	2019
SH	Saint Helena	4534	wikipedia	2016
YT	Mayotte	256518	wikipedia	2017
EH	Western Sahara	538755	wikipedia	2016
TW	Taiwan	23577271	wikipedia	2018
VA	Vatican City State (Holy See)	1000	wikipedia	2017
WF	Wallis and Futuna	11899	wikipedia	2016